Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
SE26,Studio,10,851,825,850,890
SE26,One Bedroom,80,1097,1000,1100,1165
SE26,Two Bedrooms,110,1303,1163,1300,1420
SE26,Three Bedrooms,60,1651,1400,1600,1850
SE26,Four or More Bedrooms,10,2194,2025,2200,2350
SE27,Room,0,.,.,.,.
SE27,Studio,10,754,655,800,838
SE27,One Bedroom,30,1116,1000,1100,1250
SE27,Two Bedrooms,40,1404,1250,1375,1500
SE27,Three Bedrooms,20,1996,1650,1850,2125
SE27,Four or More Bedrooms,10,2288,1850,2200,2769
SE28,Room,0,.,.,.,.
SE28,Studio,0,.,.,.,.
SE28,One Bedroom,30,957,913,988,1013
SE28,Two Bedrooms,70,1229,1150,1200,1330
SE28,Three Bedrooms,20,1439,1340,1475,1550
SE28,Four or More Bedrooms,10,1616,1600,1600,1700
SE3,Room,-,..,..,..,..
SE3,Studio,10,1026,950,1000,1075
SE3,One Bedroom,60,1352,1219,1300,1400
SE3,Two Bedrooms,100,1671,1500,1695,1800
SE3,Three Bedrooms,50,2044,1800,2000,2200
SE3,Four or More Bedrooms,20,3190,2250,2850,4125
SE4,Room,0,.,.,.,.
SE4,Studio,-,..,..,..,..
SE4,One Bedroom,30,1148,1050,1150,1250
SE4,Two Bedrooms,70,1402,1300,1400,1500
SE4,Three Bedrooms,20,1786,1550,1735,2000
SE4,Four or More Bedrooms,10,2715,2400,2500,2675
SE5,Room,0,.,.,.,.
SE5,Studio,-,..,..,..,..
SE5,One Bedroom,60,1324,1200,1300,1450
SE5,Two Bedrooms,100,1543,1350,1500,1750
SE5,Three Bedrooms,40,2093,1800,2050,2325
SE5,Four or More Bedrooms,20,3400,3003,3300,3900
SE6,Room,10,786,500,818,960
SE6,Studio,10,817,800,800,850
SE6,One Bedroom,80,1039,950,1000,1100
SE6,Two Bedrooms,110,1247,1150,1250,1350
SE6,Three Bedrooms,60,1565,1450,1600,1675
SE6,Four or More Bedrooms,20,2040,1733,2100,2200
SE7,Room,0,.,.,.,.
SE7,Studio,0,.,.,.,.
SE7,One Bedroom,10,1117,1000,1100,1175
SE7,Two Bedrooms,30,1330,1250,1350,1450
SE7,Three Bedrooms,20,1755,1525,1800,1910
SE7,Four or More Bedrooms,10,1910,1700,1850,2000
SE8,Room,20,721,611,742,812
SE8,Studio,10,882,900,925,1006
SE8,One Bedroom,80,1171,1050,1150,1300
SE8,Two Bedrooms,130,1428,1278,1350,1650
SE8,Three Bedrooms,30,1883,1500,1900,2171
SE8,Four or More Bedrooms,10,2067,1127,2135,2880
SE9,Room,10,591,520,625,650
SE9,Studio,10,815,750,800,825
SE9,One Bedroom,60,1047,900,1050,1200
SE9,Two Bedrooms,90,1310,1200,1300,1400
SE9,Three Bedrooms,90,1563,1400,1600,1700
SE9,Four or More Bedrooms,30,2304,1800,2000,2400
SE99,Room,0,.,.,.,.
SE99,Studio,0,.,.,.,.
SE99,One Bedroom,0,.,.,.,.
SE99,Two Bedrooms,0,.,.,.,.
SE99,Three Bedrooms,0,.,.,.,.
SE99,Four or More Bedrooms,0,.,.,.,.
SM1,Room,0,.,.,.,.
SM1,Studio,10,786,750,775,800
SM1,One Bedroom,90,999,898,950,1025
SM1,Two Bedrooms,110,1254,1150,1236,1350
SM1,Three Bedrooms,40,1579,1390,1598,1750
SM1,Four or More Bedrooms,10,1894,1600,1895,2300
SM2,Room,0,.,.,.,.
SM2,Studio,30,795,743,795,850
SM2,One Bedroom,110,964,900,950,995
SM2,Two Bedrooms,150,1230,1150,1225,1300
SM2,Three Bedrooms,30,1578,1450,1550,1750
SM2,Four or More Bedrooms,10,2538,2100,2300,2525
SM3,Room,0,.,.,.,.
SM3,Studio,10,870,850,900,900
SM3,One Bedroom,10,1003,963,998,1075
SM3,Two Bedrooms,20,1261,1150,1300,1400
SM3,Three Bedrooms,20,1676,1500,1600,1850
SM3,Four or More Bedrooms,-,..,..,..,..
SM4,Room,0,.,.,.,.
SM4,Studio,0,.,.,.,.
SM4,One Bedroom,20,1058,950,1063,1150
SM4,Two Bedrooms,30,1357,1250,1325,1425
SM4,Three Bedrooms,20,1748,1500,1650,1900
SM4,Four or More Bedrooms,-,..,..,..,..
SM5,Room,0,.,.,.,.
SM5,Studio,-,..,..,..,..
SM5,One Bedroom,20,896,838,873,938
SM5,Two Bedrooms,30,1176,1050,1188,1285
SM5,Three Bedrooms,10,1530,1375,1480,1625
SM5,Four or More Bedrooms,-,..,..,..,..
SM6,Room,0,.,.,.,.
SM6,Studio,10,841,800,825,905
SM6,One Bedroom,40,920,850,900,950
SM6,Two Bedrooms,60,1165,1100,1150,1250
SM6,Three Bedrooms,20,1614,1450,1575,1755
SM6,Four or More Bedrooms,10,2067,1750,2050,2300
SM7,Room,0,.,.,.,.
SM7,Studio,0,.,.,.,.
SM7,One Bedroom,0,.,.,.,.
SM7,Two Bedrooms,0,.,.,.,.
SM7,Three Bedrooms,0,.,.,.,.
SM7,Four or More Bedrooms,0,.,.,.,.
SW10,Room,-,..,..,..,..
SW10,Studio,60,1478,1365,1517,1550
SW10,One Bedroom,120,2010,1647,1870,2123
SW10,Two Bedrooms,150,2693,1950,2383,3033
SW10,Three Bedrooms,40,4032,2970,3823,4625
SW10,Four or More Bedrooms,10,5315,4117,4767,6250
SW11,Room,0,.,.,.,.
SW11,Studio,10,1175,1000,1083,1200
SW11,One Bedroom,250,1558,1350,1560,1731
SW11,Two Bedrooms,420,2122,1799,2100,2350
SW11,Three Bedrooms,140,2786,2350,2700,3250
SW11,Four or More Bedrooms,100,4044,3385,3720,4464
SW12,Room,0,.,.,.,.
SW12,Studio,10,1037,1000,1000,1100
SW12,One Bedroom,50,1557,1350,1598,1725
SW12,Two Bedrooms,120,1990,1751,1900,2182
SW12,Three Bedrooms,60,2552,2150,2500,2851
SW12,Four or More Bedrooms,30,3712,3190,3500,4200
SW13,Room,0,.,.,.,.
SW13,Studio,10,1071,945,1068,1100
SW13,One Bedroom,40,1307,1172,1266,1400
SW13,Two Bedrooms,90,1851,1500,1785,2050
SW13,Three Bedrooms,70,2404,1730,2250,2900
SW13,Four or More Bedrooms,20,4165,2750,3700,4600
SW14,Room,0,.,.,.,.
SW14,Studio,-,..,..,..,..
SW14,One Bedroom,40,1236,1150,1250,1325
SW14,Two Bedrooms,150,1653,1440,1600,1800
SW14,Three Bedrooms,60,2355,1763,2300,2738
SW14,Four or More Bedrooms,70,3855,3000,3500,4400
SW15,Room,-,..,..,..,..
SW15,Studio,20,1068,1000,1070,1150
SW15,One Bedroom,100,1464,1300,1450,1650
SW15,Two Bedrooms,200,1872,1600,1800,2150
SW15,Three Bedrooms,60,2250,1700,2200,2600
SW15,Four or More Bedrooms,30,3287,2225,3236,3650
SW16,Room,10,692,585,642,700
SW16,Studio,10,851,800,813,932
SW16,One Bedroom,100,1166,1050,1200,1295
SW16,Two Bedrooms,130,1428,1300,1400,1500
SW16,Three Bedrooms,70,1629,1500,1600,1800
SW16,Four or More Bedrooms,60,2022,1625,1950,2266
SW17,Room,-,..,..,..,..
SW17,Studio,10,997,925,1000,1050
SW17,One Bedroom,80,1346,1250,1350,1450
SW17,Two Bedrooms,120,1623,1450,1600,1770
SW17,Three Bedrooms,40,2171,1750,2200,2500
SW17,Four or More Bedrooms,40,2948,2400,2900,3250
SW18,Room,-,..,..,..,..
SW18,Studio,-,..,..,..,..
SW18,One Bedroom,150,1461,1275,1475,1575
SW18,Two Bedrooms,250,1810,1525,1750,2000
SW18,Three Bedrooms,80,2423,2000,2400,2775
SW18,Four or More Bedrooms,60,3476,3000,3325,3750
SW19,Room,-,..,..,..,..
SW19,Studio,10,982,900,980,1050
SW19,One Bedroom,240,1311,1200,1300,1400
SW19,Two Bedrooms,420,1673,1450,1550,1800
SW19,Three Bedrooms,130,2264,1850,2200,2550
SW19,Four or More Bedrooms,90,3568,2650,3125,4300
SW1A,Room,0,.,.,.,.
SW1A,Studio,0,.,.,.,.
SW1A,One Bedroom,0,.,.,.,.
SW1A,Two Bedrooms,-,..,..,..,..
SW1A,Three Bedrooms,0,.,.,.,.
SW1A,Four or More Bedrooms,0,.,.,.,.
SW1E,Room,0,.,.,.,.
SW1E,Studio,0,.,.,.,.
SW1E,One Bedroom,-,..,..,..,..
SW1E,Two Bedrooms,-,..,..,..,..
SW1E,Three Bedrooms,-,..,..,..,..
SW1E,Four or More Bedrooms,0,.,.,.,.
SW1H,Room,0,.,.,.,.
SW1H,Studio,-,..,..,..,..
SW1H,One Bedroom,10,1939,1750,2000,2106
SW1H,Two Bedrooms,-,..,..,..,..
SW1H,Three Bedrooms,0,.,.,.,.
SW1H,Four or More Bedrooms,0,.,.,.,.
SW1P,Room,0,.,.,.,.
SW1P,Studio,-,..,..,..,..
SW1P,One Bedroom,20,1896,1500,1650,2492
SW1P,Two Bedrooms,30,2290,1908,2048,2763
SW1P,Three Bedrooms,20,3869,3142,3600,3825
SW1P,Four or More Bedrooms,-,..,..,..,..
SW1V,Room,0,.,.,.,.
SW1V,Studio,-,..,..,..,..
SW1V,One Bedroom,50,2021,1647,1842,2123
SW1V,Two Bedrooms,80,2364,2000,2275,2600
SW1V,Three Bedrooms,20,3943,2908,3850,4442
SW1V,Four or More Bedrooms,10,6721,4700,5900,7000
SW1W,Room,0,.,.,.,.
SW1W,Studio,10,1352,1208,1300,1495
SW1W,One Bedroom,30,2048,1440,2123,2644
SW1W,Two Bedrooms,40,3501,2535,3050,3943
SW1W,Three Bedrooms,20,5280,3792,4117,6392
SW1W,Four or More Bedrooms,10,6506,5200,6825,8017
SW1X,Room,0,.,.,.,.
SW1X,Studio,-,..,..,..,..
SW1X,One Bedroom,20,2664,2058,2708,3250
SW1X,Two Bedrooms,30,4012,3033,3400,4983
SW1X,Three Bedrooms,10,6392,4832,6717,7367
SW1X,Four or More Bedrooms,10,7172,6933,7583,8125
SW1Y,Room,0,.,.,.,.
SW1Y,Studio,0,.,.,.,.
SW1Y,One Bedroom,-,..,..,..,..
SW1Y,Two Bedrooms,0,.,.,.,.
SW1Y,Three Bedrooms,-,..,..,..,..
SW1Y,Four or More Bedrooms,0,.,.,.,.
SW2,Room,10,686,678,707,707
SW2,Studio,10,967,900,955,1000
SW2,One Bedroom,90,1303,1200,1300,1400
SW2,Two Bedrooms,120,1671,1500,1600,1850
SW2,Three Bedrooms,50,2200,1850,2205,2500
SW2,Four or More Bedrooms,30,3021,2600,3053,3450
SW20,Room,0,.,.,.,.
SW20,Studio,10,994,900,1000,1050
SW20,One Bedroom,40,1216,1052,1200,1327
SW20,Two Bedrooms,60,1517,1300,1475,1700
SW20,Three Bedrooms,40,2320,1850,2050,2550
SW20,Four or More Bedrooms,30,2941,2625,2800,3200
SW3,Room,0,.,.,.,.
SW3,Studio,110,1347,1083,1300,1560
SW3,One Bedroom,300,2019,1603,1893,2269
SW3,Two Bedrooms,240,2948,2318,2795,3358
SW3,Three Bedrooms,80,4991,3792,4767,5958
SW3,Four or More Bedrooms,40,8967,6000,8233,12133
SW4,Room,0,.,.,.,.
SW4,Studio,10,1090,975,1150,1200
SW4,One Bedroom,110,1519,1322,1550,1700
SW4,Two Bedrooms,190,1945,1700,1950,2186
SW4,Three Bedrooms,70,2555,2200,2647,2825
SW4,Four or More Bedrooms,40,4042,3120,3700,4875
SW5,Room,0,.,.,.,.
SW5,Studio,30,1316,1150,1279,1500
SW5,One Bedroom,120,1808,1495,1690,1950
SW5,Two Bedrooms,190,2561,2000,2345,2925
SW5,Three Bedrooms,30,3609,2597,3163,4279
SW5,Four or More Bedrooms,10,5468,3841,5525,6717
SW6,Room,0,.,.,.,.
SW6,Studio,40,1144,950,1127,1278
SW6,One Bedroom,230,1559,1400,1550,1712
SW6,Two Bedrooms,340,2013,1668,1925,2275
SW6,Three Bedrooms,130,2826,2250,2800,3250
SW6,Four or More Bedrooms,110,5093,4000,4500,5850
SW7,Room,0,.,.,.,.
SW7,Studio,40,1261,1083,1300,1408
SW7,One Bedroom,110,2308,1777,2123,2492
SW7,Two Bedrooms,170,3140,2383,2881,3575
SW7,Three Bedrooms,40,4189,3033,3850,4658
SW7,Four or More Bedrooms,20,5470,4082,5200,6609
SW8,Room,10,573,520,555,630
SW8,Studio,20,1189,950,1275,1350
SW8,One Bedroom,130,1687,1500,1712,1924
SW8,Two Bedrooms,180,2051,1700,2010,2350
SW8,Three Bedrooms,60,2387,1810,2265,2828
SW8,Four or More Bedrooms,10,2982,2440,2725,3200
SW9,Room,0,.,.,.,.
SW9,Studio,-,..,..,..,..
SW9,One Bedroom,60,1407,1288,1400,1550
SW9,Two Bedrooms,100,1715,1500,1700,1850
SW9,Three Bedrooms,20,2414,2000,2383,2800
SW9,Four or More Bedrooms,10,3456,3200,3500,3600
SW95,Room,0,.,.,.,.
SW95,Studio,0,.,.,.,.
SW95,One Bedroom,0,.,.,.,.
SW95,Two Bedrooms,0,.,.,.,.
SW95,Three Bedrooms,0,.,.,.,.
SW95,Four or More Bedrooms,0,.,.,.,.
SW99,Room,0,.,.,.,.
SW99,Studio,0,.,.,.,.
SW99,One Bedroom,0,.,.,.,.
SW99,Two Bedrooms,0,.,.,.,.
SW99,Three Bedrooms,0,.,.,.,.
SW99,Four or More Bedrooms,0,.,.,.,.
TN14,Room,0,.,.,.,.
TN14,Studio,0,.,.,.,.
TN14,One Bedroom,0,.,.,.,.
TN14,Two Bedrooms,0,.,.,.,.
TN14,Three Bedrooms,0,.,.,.,.
TN14,Four or More Bedrooms,0,.,.,.,.
TN16,Room,0,.,.,.,.
TN16,Studio,0,.,.,.,.
TN16,One Bedroom,-,..,..,..,..
TN16,Two Bedrooms,10,1240,1200,1250,1300
TN16,Three Bedrooms,-,..,..,..,..
TN16,Four or More Bedrooms,10,1785,1600,1700,1800
TW1,Room,0,.,.,.,.
TW1,Studio,40,926,849,905,1000
TW1,One Bedroom,220,1261,1110,1225,1350
TW1,Two Bedrooms,290,1659,1400,1600,1800
TW1,Three Bedrooms,70,2296,1725,2150,2950
TW1,Four or More Bedrooms,60,3740,3050,3670,4475
TW10,Room,0,.,.,.,.
TW10,Studio,10,1053,975,1050,1075
TW10,One Bedroom,70,1389,1200,1365,1500
TW10,Two Bedrooms,140,1885,1595,1850,2083
TW10,Three Bedrooms,60,2758,1995,2550,3100
TW10,Four or More Bedrooms,20,4879,3075,4250,6000
TW11,Room,-,..,..,..,..
TW11,Studio,10,889,835,873,950
TW11,One Bedroom,90,1182,1050,1113,1275
TW11,Two Bedrooms,80,1638,1350,1550,1795
TW11,Three Bedrooms,40,2133,1625,1998,2325
TW11,Four or More Bedrooms,20,3452,2602,3200,3850
TW12,Room,10,637,632,632,662
TW12,Studio,-,..,..,..,..
TW12,One Bedroom,80,1051,950,1050,1138
TW12,Two Bedrooms,70,1439,1275,1400,1500
TW12,Three Bedrooms,50,1858,1483,1795,2150
TW12,Four or More Bedrooms,20,2597,2250,2623,2775
TW13,Room,-,..,..,..,..
TW13,Studio,-,..,..,..,..
TW13,One Bedroom,40,960,910,952,1000
TW13,Two Bedrooms,80,1213,1150,1234,1325
TW13,Three Bedrooms,40,1460,1300,1500,1575
TW13,Four or More Bedrooms,10,1611,1550,1550,1700
TW14,Room,10,619,592,592,619
TW14,Studio,10,791,725,775,850
TW14,One Bedroom,40,973,935,974,1050
TW14,Two Bedrooms,60,1306,1168,1250,1350
TW14,Three Bedrooms,50,1510,1398,1500,1600
TW14,Four or More Bedrooms,10,1751,1650,1700,1904
TW15,Room,0,.,.,.,.
TW15,Studio,0,.,.,.,.
TW15,One Bedroom,0,.,.,.,.
TW15,Two Bedrooms,0,.,.,.,.
TW15,Three Bedrooms,0,.,.,.,.
TW15,Four or More Bedrooms,0,.,.,.,.
TW19,Room,0,.,.,.,.
TW19,Studio,0,.,.,.,.
TW19,One Bedroom,0,.,.,.,.
TW19,Two Bedrooms,-,..,..,..,..
TW19,Three Bedrooms,-,..,..,..,..
TW19,Four or More Bedrooms,0,.,.,.,.
TW2,Room,-,..,..,..,..
TW2,Studio,-,..,..,..,..
TW2,One Bedroom,30,1170,1100,1200,1265
TW2,Two Bedrooms,80,1571,1350,1498,1700
TW2,Three Bedrooms,50,2028,1650,1948,2250
TW2,Four or More Bedrooms,20,2577,2100,2625,2995
TW3,Room,40,546,475,550,600
TW3,Studio,50,842,725,813,990
TW3,One Bedroom,130,1116,975,1050,1225
TW3,Two Bedrooms,170,1315,1200,1300,1400
TW3,Three Bedrooms,80,1596,1475,1600,1700
TW3,Four or More Bedrooms,20,1783,1700,1800,1900
TW4,Room,10,482,417,463,592
TW4,Studio,10,828,763,863,888
TW4,One Bedroom,30,993,960,1000,1025
TW4,Two Bedrooms,40,1225,1150,1250,1325
TW4,Three Bedrooms,50,1535,1400,1525,1695
TW4,Four or More Bedrooms,20,1891,1650,1800,1975
TW5,Room,-,..,..,..,..
TW5,Studio,10,733,675,700,750
TW5,One Bedroom,10,898,850,925,950
TW5,Two Bedrooms,50,1240,1200,1225,1300
TW5,Three Bedrooms,30,1553,1400,1550,1688
TW5,Four or More Bedrooms,20,1813,1650,1750,1850
TW6,Room,0,.,.,.,.
TW6,Studio,0,.,.,.,.
TW6,One Bedroom,0,.,.,.,.
TW6,Two Bedrooms,0,.,.,.,.
TW6,Three Bedrooms,0,.,.,.,.
TW6,Four or More Bedrooms,0,.,.,.,.
TW7,Room,-,..,..,..,..
TW7,Studio,20,844,775,850,927
TW7,One Bedroom,100,1133,1050,1125,1200
TW7,Two Bedrooms,170,1372,1250,1350,1407
TW7,Three Bedrooms,50,1700,1495,1660,1825
TW7,Four or More Bedrooms,20,2282,2000,2195,2500
TW8,Room,-,..,..,..,..
TW8,Studio,10,835,750,800,900
TW8,One Bedroom,80,1272,1200,1280,1390
TW8,Two Bedrooms,100,1690,1532,1650,1778
TW8,Three Bedrooms,30,1805,1430,1750,2000
TW8,Four or More Bedrooms,10,2577,2200,2700,2990
TW9,Room,10,625,610,650,650
TW9,Studio,20,1087,830,1025,1225
TW9,One Bedroom,120,1339,1200,1300,1450
TW9,Two Bedrooms,200,1768,1550,1700,1900
TW9,Three Bedrooms,80,2688,2116,2651,3185
TW9,Four or More Bedrooms,40,4594,3800,4250,5500
UB1,Room,10,614,596,646,721
UB1,Studio,10,1180,1200,1200,1200
UB1,One Bedroom,10,1004,1000,1000,1000
UB1,Two Bedrooms,10,1235,1250,1288,1300
UB1,Three Bedrooms,20,1592,1525,1600,1650
UB1,Four or More Bedrooms,-,..,..,..,..
UB10,Room,20,574,492,617,642
UB10,Studio,-,..,..,..,..
UB10,One Bedroom,10,944,850,975,1025
UB10,Two Bedrooms,30,1220,1083,1225,1350
UB10,Three Bedrooms,100,1257,1138,1225,1350
UB10,Four or More Bedrooms,10,2096,1825,2175,2200
UB11,Room,0,.,.,.,.
UB11,Studio,0,.,.,.,.
UB11,One Bedroom,0,.,.,.,.
UB11,Two Bedrooms,0,.,.,.,.
UB11,Three Bedrooms,0,.,.,.,.
UB11,Four or More Bedrooms,0,.,.,.,.
UB18,Room,0,.,.,.,.
UB18,Studio,0,.,.,.,.
UB18,One Bedroom,0,.,.,.,.
UB18,Two Bedrooms,0,.,.,.,.
UB18,Three Bedrooms,0,.,.,.,.
UB18,Four or More Bedrooms,0,.,.,.,.
UB2,Room,10,692,692,692,692
UB2,Studio,-,..,..,..,..
UB2,One Bedroom,10,1013,950,1000,1000
UB2,Two Bedrooms,30,1288,1250,1300,1350
UB2,Three Bedrooms,30,1630,1500,1600,1700
UB2,Four or More Bedrooms,10,1815,1575,1875,1995
UB3,Room,10,651,542,542,800
UB3,Studio,30,787,700,780,850
UB3,One Bedroom,70,981,900,975,1100
UB3,Two Bedrooms,70,1229,1175,1240,1300
UB3,Three Bedrooms,60,1505,1450,1525,1600
UB3,Four or More Bedrooms,20,1815,1700,1800,1900
UB4,Room,0,.,.,.,.
UB4,Studio,10,685,700,700,700
UB4,One Bedroom,10,1025,950,975,1050
UB4,Two Bedrooms,30,1217,1163,1238,1300
UB4,Three Bedrooms,30,1465,1400,1500,1600
UB4,Four or More Bedrooms,-,..,..,..,..
UB5,Room,0,.,.,.,.
UB5,Studio,-,..,..,..,..
UB5,One Bedroom,30,1007,945,975,1100
UB5,Two Bedrooms,40,1341,1200,1300,1388
UB5,Three Bedrooms,30,1563,1500,1600,1650
UB5,Four or More Bedrooms,-,..,..,..,..
UB6,Room,-,..,..,..,..
UB6,Studio,10,891,850,912,925
UB6,One Bedroom,20,1065,1000,1050,1100
UB6,Two Bedrooms,40,1310,1213,1250,1350
UB6,Three Bedrooms,30,1625,1450,1598,1700
UB6,Four or More Bedrooms,10,1767,1695,1700,1900
UB7,Room,80,534,467,537,592
UB7,Studio,30,712,661,700,725
UB7,One Bedroom,150,953,850,931,1050
UB7,Two Bedrooms,170,1186,1100,1200,1300
UB7,Three Bedrooms,180,1333,1202,1350,1450
UB7,Four or More Bedrooms,30,1581,1450,1500,1750
UB8,Room,40,572,492,592,667
UB8,Studio,50,899,750,929,1020
UB8,One Bedroom,70,1010,950,1000,1100
UB8,Two Bedrooms,60,1273,1175,1207,1325
UB8,Three Bedrooms,60,1658,1400,1525,1750
UB8,Four or More Bedrooms,50,1926,1545,1750,2400
UB9,Room,-,..,..,..,..
UB9,Studio,-,..,..,..,..
UB9,One Bedroom,0,.,.,.,.
UB9,Two Bedrooms,-,..,..,..,..
UB9,Three Bedrooms,-,..,..,..,..
UB9,Four or More Bedrooms,0,.,.,.,.
W1,Room,0,.,.,.,.
W1,Studio,0,.,.,.,.
W1,One Bedroom,0,.,.,.,.
W1,Two Bedrooms,0,.,.,.,.
W1,Three Bedrooms,0,.,.,.,.
W1,Four or More Bedrooms,0,.,.,.,.
W10,Room,0,.,.,.,.
W10,Studio,10,1240,900,900,1235
W10,One Bedroom,40,1570,1340,1517,1668
W10,Two Bedrooms,50,2120,1712,1900,2200
W10,Three Bedrooms,10,3306,2275,2858,3748
W10,Four or More Bedrooms,0,.,.,.,.
W11,Room,0,.,.,.,.
W11,Studio,10,1683,1278,1430,1517
W11,One Bedroom,90,1893,1500,1750,2167
W11,Two Bedrooms,100,2678,2058,2383,3142
W11,Three Bedrooms,30,4035,2756,3575,4767
W11,Four or More Bedrooms,-,..,..,..,..
W12,Room,0,.,.,.,.
W12,Studio,20,1043,867,1050,1127
W12,One Bedroom,180,1409,1250,1323,1430
W12,Two Bedrooms,140,1802,1430,1637,2000
W12,Three Bedrooms,40,2178,1774,2100,2424
W12,Four or More Bedrooms,20,3111,2500,2946,3550
W13,Room,0,.,.,.,.
W13,Studio,30,959,900,940,1000
W13,One Bedroom,170,1267,1175,1273,1335
W13,Two Bedrooms,200,1403,1300,1402,1513
W13,Three Bedrooms,40,1898,1750,1950,2000
W13,Four or More Bedrooms,20,2756,2250,2500,3000
W14,Room,0,.,.,.,.
W14,Studio,40,968,801,845,1092
W14,One Bedroom,160,1458,1300,1400,1600
W14,Two Bedrooms,150,2063,1695,1900,2275
W14,Three Bedrooms,50,3040,2350,2800,3225
W14,Four or More Bedrooms,30,5146,2850,3770,6933
W1A,Room,0,.,.,.,.
W1A,Studio,0,.,.,.,.
W1A,One Bedroom,0,.,.,.,.
W1A,Two Bedrooms,0,.,.,.,.
W1A,Three Bedrooms,0,.,.,.,.
W1A,Four or More Bedrooms,0,.,.,.,.
W1B,Room,0,.,.,.,.
W1B,Studio,0,.,.,.,.
W1B,One Bedroom,0,.,.,.,.
W1B,Two Bedrooms,0,.,.,.,.
W1B,Three Bedrooms,0,.,.,.,.
W1B,Four or More Bedrooms,0,.,.,.,.
W1C,Room,0,.,.,.,.
W1C,Studio,0,.,.,.,.
W1C,One Bedroom,0,.,.,.,.
W1C,Two Bedrooms,0,.,.,.,.
W1C,Three Bedrooms,0,.,.,.,.
W1C,Four or More Bedrooms,0,.,.,.,.
W1D,Room,0,.,.,.,.
W1D,Studio,0,.,.,.,.
W1D,One Bedroom,0,.,.,.,.
W1D,Two Bedrooms,0,.,.,.,.
W1D,Three Bedrooms,0,.,.,.,.
W1D,Four or More Bedrooms,0,.,.,.,.
W1F,Room,0,.,.,.,.
W1F,Studio,0,.,.,.,.
W1F,One Bedroom,-,..,..,..,..
W1F,Two Bedrooms,0,.,.,.,.
W1F,Three Bedrooms,0,.,.,.,.
W1F,Four or More Bedrooms,0,.,.,.,.
W1G,Room,0,.,.,.,.
W1G,Studio,0,.,.,.,.
W1G,One Bedroom,-,..,..,..,..
W1G,Two Bedrooms,-,..,..,..,..
W1G,Three Bedrooms,0,.,.,.,.
W1G,Four or More Bedrooms,0,.,.,.,.
W1H,Room,10,672,620,671,722
W1H,Studio,30,1420,1219,1373,1614
W1H,One Bedroom,110,2225,1842,2150,2575
W1H,Two Bedrooms,110,3083,2557,2925,3445
W1H,Three Bedrooms,30,3836,2275,3575,4463
W1H,Four or More Bedrooms,10,8567,3900,6782,7800
W1J,Room,0,.,.,.,.
W1J,Studio,0,.,.,.,.
W1J,One Bedroom,-,..,..,..,..
W1J,Two Bedrooms,-,..,..,..,..
W1J,Three Bedrooms,0,.,.,.,.
W1J,Four or More Bedrooms,0,.,.,.,.
W1K,Room,0,.,.,.,.
W1K,Studio,0,.,.,.,.
W1K,One Bedroom,-,..,..,..,..
W1K,Two Bedrooms,-,..,..,..,..
W1K,Three Bedrooms,0,.,.,.,.
W1K,Four or More Bedrooms,0,.,.,.,.
W1M,Room,0,.,.,.,.
W1M,Studio,0,.,.,.,.
W1M,One Bedroom,0,.,.,.,.
W1M,Two Bedrooms,0,.,.,.,.
W1M,Three Bedrooms,0,.,.,.,.
W1M,Four or More Bedrooms,0,.,.,.,.
W1N,Room,0,.,.,.,.
W1N,Studio,0,.,.,.,.
W1N,One Bedroom,0,.,.,.,.
W1N,Two Bedrooms,0,.,.,.,.
W1N,Three Bedrooms,0,.,.,.,.
W1N,Four or More Bedrooms,0,.,.,.,.
W1P,Room,0,.,.,.,.
W1P,Studio,0,.,.,.,.
W1P,One Bedroom,0,.,.,.,.
W1P,Two Bedrooms,0,.,.,.,.
W1P,Three Bedrooms,0,.,.,.,.
W1P,Four or More Bedrooms,0,.,.,.,.
W1R,Room,0,.,.,.,.
W1R,Studio,0,.,.,.,.
W1R,One Bedroom,0,.,.,.,.
W1R,Two Bedrooms,0,.,.,.,.
W1R,Three Bedrooms,0,.,.,.,.
W1R,Four or More Bedrooms,0,.,.,.,.
W1S,Room,0,.,.,.,.
W1S,Studio,0,.,.,.,.
W1S,One Bedroom,0,.,.,.,.
W1S,Two Bedrooms,0,.,.,.,.
W1S,Three Bedrooms,0,.,.,.,.
W1S,Four or More Bedrooms,0,.,.,.,.
W1T,Room,0,.,.,.,.
W1T,Studio,-,..,..,..,..
W1T,One Bedroom,20,2189,1558,1881,2792
W1T,Two Bedrooms,10,2944,1950,2405,3250
W1T,Three Bedrooms,0,.,.,.,.
W1T,Four or More Bedrooms,0,.,.,.,.
W1U,Room,-,..,..,..,..
W1U,Studio,10,1457,1300,1408,1625
W1U,One Bedroom,80,2406,2123,2383,2700
W1U,Two Bedrooms,60,3310,2700,3120,3683
W1U,Three Bedrooms,30,4980,3397,4030,5612
W1U,Four or More Bedrooms,10,7819,4767,4767,12500
W1V,Room,0,.,.,.,.
W1V,Studio,0,.,.,.,.
W1V,One Bedroom,0,.,.,.,.
W1V,Two Bedrooms,0,.,.,.,.
W1V,Three Bedrooms,0,.,.,.,.
W1V,Four or More Bedrooms,0,.,.,.,.
W1W,Room,0,.,.,.,.
W1W,Studio,0,.,.,.,.
W1W,One Bedroom,-,..,..,..,..
W1W,Two Bedrooms,10,2144,1650,2037,2300
W1W,Three Bedrooms,-,..,..,..,..
W1W,Four or More Bedrooms,0,.,.,.,.
W1X,Room,0,.,.,.,.
