Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
EN5,Two Bedrooms,90,1325,1225,1325,1450
EN5,Three Bedrooms,20,1702,1500,1613,1800
EN5,Four or More Bedrooms,20,2601,2200,2400,2750
EN6,Room,0,.,.,.,.
EN6,Studio,0,.,.,.,.
EN6,One Bedroom,0,.,.,.,.
EN6,Two Bedrooms,0,.,.,.,.
EN6,Three Bedrooms,0,.,.,.,.
EN6,Four or More Bedrooms,0,.,.,.,.
EN7,Room,0,.,.,.,.
EN7,Studio,0,.,.,.,.
EN7,One Bedroom,0,.,.,.,.
EN7,Two Bedrooms,0,.,.,.,.
EN7,Three Bedrooms,0,.,.,.,.
EN7,Four or More Bedrooms,0,.,.,.,.
EN8,Room,0,.,.,.,.
EN8,Studio,0,.,.,.,.
EN8,One Bedroom,0,.,.,.,.
EN8,Two Bedrooms,-,..,..,..,..
EN8,Three Bedrooms,0,.,.,.,.
EN8,Four or More Bedrooms,0,.,.,.,.
EN9,Room,0,.,.,.,.
EN9,Studio,0,.,.,.,.
EN9,One Bedroom,0,.,.,.,.
EN9,Two Bedrooms,0,.,.,.,.
EN9,Three Bedrooms,0,.,.,.,.
EN9,Four or More Bedrooms,0,.,.,.,.
HA0,Room,-,..,..,..,..
HA0,Studio,30,896,850,900,1000
HA0,One Bedroom,80,1138,1050,1150,1225
HA0,Two Bedrooms,90,1393,1300,1400,1475
HA0,Three Bedrooms,100,1757,1650,1750,1850
HA0,Four or More Bedrooms,20,2208,2100,2200,2400
HA1,Room,10,600,500,525,775
HA1,Studio,20,880,800,950,950
HA1,One Bedroom,130,1154,1000,1150,1250
HA1,Two Bedrooms,180,1390,1250,1350,1500
HA1,Three Bedrooms,60,1612,1498,1650,1750
HA1,Four or More Bedrooms,10,2181,1850,2400,2495
HA2,Room,10,627,490,570,767
HA2,Studio,10,829,700,850,900
HA2,One Bedroom,60,1028,950,1000,1115
HA2,Two Bedrooms,100,1335,1225,1300,1375
HA2,Three Bedrooms,90,1620,1500,1600,1700
HA2,Four or More Bedrooms,20,2033,1750,2100,2300
HA3,Room,10,442,400,425,470
HA3,Studio,20,750,650,750,875
HA3,One Bedroom,100,1030,950,1050,1100
HA3,Two Bedrooms,190,1309,1200,1275,1350
HA3,Three Bedrooms,210,1660,1550,1650,1775
HA3,Four or More Bedrooms,80,2068,1850,2000,2247
HA4,Room,0,.,.,.,.
HA4,Studio,-,..,..,..,..
HA4,One Bedroom,10,1096,1050,1050,1175
HA4,Two Bedrooms,40,1351,1250,1338,1495
HA4,Three Bedrooms,10,1598,1450,1600,1700
HA4,Four or More Bedrooms,10,2583,2050,2500,3000
HA5,Room,0,.,.,.,.
HA5,Studio,10,718,700,700,745
HA5,One Bedroom,20,1125,900,1063,1220
HA5,Two Bedrooms,70,1354,1250,1300,1400
